author,handle,date,text,likes
Cabelo Escobar,@cabelo_escobar,2025-03-27T19:03:14.000Z,"FINALLY MADE 50,000 DOLLARS FROM $GHIBLI   As promised, I want to change someone's life and send 100 $Sol (~$12,000) to one person by tomorrow.  Just like, retweet and comment 'done'. Random winner in 15 hrs",504
Arkn. sol,@Punk2026,2025-03-28T18:04:37.000Z,"Sending some $SOL to first 1200 wallets in the comments !!  Drop your $SOL address   Like, Follow & RT  Check your wallet in 24 hours",29
MR NFT,@MRNFT_X,2025-03-28T15:53:56.000Z,$20 Solana Giveaway  1. Interact with your $SOL wallet  2. Like & repost  Running for 180 minutes,102
$PWF,@SolanaPWF,2025-03-27T21:54:16.000Z,"$PWF Airdrop open for 12 hours   Drop your #Solana $SOL address below, Follow  & RT   Every wallet gets 50.000.000 $PWF   Check your wallet in 12 Hours",198
Block Sync,@BlocksyncV,2025-03-27T15:06:17.000Z,"$SOL GIVEAWAY  $20 $sol to 5 persons. $10 $sol to 10 persons.   To participate :  - FOLLOW  @BlocksyncV   - Like, retweet and drop addy!!",278
$ROSSY,@ROSSYSolana,2025-03-28T13:49:47.000Z,"Claim 150,000 $ROSSY Airdrop  STEP 1 : Like & RT + follow  @HORUSxSOL    STEP 2 : Drop your solana #sol address   First 777 wallets",81
Crypto King.eth.sol,@cryptosanthoshK,2025-03-28T17:27:30.000Z,Only my subs will get all these soon:  I gave you solana bottom.  I gave you solana top.  I gave you eth bottom.  I gave you eth top.  I gave you bitcoin bottom.  I gave you bitcoin top.  I gave you Ada bottom.  I gave you Ada top.  I gave you XRP bottom.  I gave you XRP top.,123
Leo. sol,@Punk2028,2025-03-28T18:11:55.000Z,A lucky person will win $5000 in $SOL  To enter: Follow me RT and like  Drop your wallet address!,65
MORTY,@MortyWeb3,2025-03-27T19:03:54.000Z,"SOLANA Giveaway    2x $SOL Winners   Must: 1- RT, Like   2- Follow  @MortyWeb3  () 3- Tag 3 friends   24Hrs",405
MEDUSA,@MedusaxSOL,2025-03-28T18:26:13.000Z,"Sending some $MEDUSA   Drop $sol adress  Like & RT  Only for followers, be fast, 8 hours",79
Paws Network,@PawsSolanacom,2025-03-27T13:58:52.000Z,"Every wallet gets 200,000 $PAWS    Drop your Solana $SOL Address & RT    Check Your Eligibility: https://paws.communlty.pro  #Solana #SolanaAirdrop $Trump",362
Totoro Ghibli,@totoro_solana,2025-03-28T19:00:02.000Z,"$Totoro: ""Sharing an umbrella with Totoro on a rainy day""  Online in 18 hours    Airdrop open, drop $sol address below, follow, RT      First 100 wallets get 20.000 $Totoro  #ghibli #ghiblistyle #memecoin #solana",12
Mouse,@Mousemetax,2025-03-28T18:34:40.000Z,I want to say a HUGE THANK YOU to King Ant!   He blessed me with other $SOL yesterday for simply following directions and supporting him!!!  He has done more for me than he knows and now this… words cannot express how much it means!!!!  THANK YOU,51
Play Solana | PSG1,@playsolana,2025-03-27T15:35:30.000Z,PSG1 pre-order is LIVE   The future of Gaming is on Solana.,2168
$LARRY,@larryfinksol,2025-03-28T18:03:30.000Z,"We are launching soon.   $LARRY is a decentralized meme coin built on #Solana  First 2,500Address 1,000,000 $LARRY  Follow, like, RT (Drop your $SOL wallet)  Snapshot in 18 hours  #SolanaAirdrop",50
Dami-Defi,@DamiDefi,2025-03-28T18:28:02.000Z,"Let's enjoy the weekend together  Drop your $SOL address  Must be following, good luck",15
Paws Network,@PawsSolanacom,2025-03-28T00:31:18.000Z,"Every wallet gets 200,000 $PAWS    Drop your Solana $SOL Address & RT    Check Your Eligibility: https://paws.communlty.pro  #Solana #SolanaAirdrop $Ghibli $trump",477
Coinvo,@ByCoinvo,2025-03-28T14:30:01.000Z,This support zone could mark the $SOL bottom!,557
