author,handle,date,text
Crypto Gang NFT,@nft_cryptogang,2025-03-21T11:05:43.000Z,$500 $SOL giveaway. like + rt + drop solana addys. follow @nft_cryptogang & turn notifs on. would send $50 to ten people at the end of the day. good luck.
Buffett.sol,@ChadCryptoTX,2025-03-21T16:42:29.000Z,"When you've weathered this market, waited for the bull run, and you see: $BTC $500,000 $XRP $100 $SOL $2,000"
Neon,@Neon_EVM,2025-03-21T13:57:31.000Z,"Builder spotlight: show > tell. Here's the Solana Signature SDK in action: Solana wallet ed25519 signatures direct EVM contract interaction. On the surface, pure Solana-native UX on your dApp; under the hood: - Solana txn packages multiple Neon EVM calls - Onchain"
Rem,@yeaitsrem,2025-03-21T09:30:23.000Z,"Giving $SOL to 3 winners Follow, Like, Repost, and drop wallets. Get me to 1,1k followers and ill pick! #giveaway #solana"
Community Charity Coin,@CommunityCCoin,2025-03-21T13:47:04.000Z,"Giveaway!! The first 50 people to buy $ccc today and reply with a screenshot will get a custom pfp! Like follow, retweet, and drop $SOL wallet and screenshot! GNmoZJHJfjnoc9E2z5ya73jZf11otBarMSCdbZaG21Xd"
Crypto Miners,@CryptoMiners_Co,2025-03-21T06:10:27.000Z,"PumpFun Launches PumpSwap – A Zero-Fee DEX for Seamless Token Migration! @PumpdotFun has unveiled PumpSwap, its native decentralized exchange on @Solana , enabling seamless token migrations with 0 migration fees (previously 6 $SOL). Instant migrations for bonded tokens"
SigmaGuys,@SigmaGuysio,2025-03-21T11:26:58.000Z,"You think you know what’s coming? Think again. #SigmaGuys play different. Like, RT, Follow & Drop your $SOL wallet below #Solana #SolanaCommunity $GUYS #SigmaBoy #Georgia #ColinPowell #Ethereum #SIGMA #UCSD #SOL"
Up Network,@upnetworkhq,2025-03-21T23:17:23.000Z,"We'll be at the @solana DePIN & Hardware Summit in Bengaluru, India Catch our product keynote about unifying decentralized intelligence & user-owned data from 220k+ active Up nodes globally to empower autonomous agent swarms across 18B+ smart devices. Let's"
AltcoinAdventurer,@AltcoinRover,2025-03-21T23:59:59.000Z,"$ASTRA ain’t slowing down. The team is building, the market is watching. You ready? Flipping $BTC, $ETH, $SOL, $DOGE, $TRIAS, $MATIC, $SHIB, $XRP, $KAS, $PEPE, $RIO, $BRISE, $HEX, $HBAR, $ADA, $ARB, $LINK, $UNI, $ATOM, $GRT, $LTC, $DOT."
Qamar Alam|,@qamaralam992,2025-03-21T23:59:58.000Z,#Flow3 #Flow3DePIN good
Xendor,@babydream288,2025-03-21T23:59:58.000Z,The goat!
Mandeep .ink,@Mandeep27907827,2025-03-21T23:59:56.000Z,I remember the days when we use sol with web wallet at that time solflare come with proper experiance of solana we never forget this #Solflare
