author,handle,date,text,likes
Alcoholic Crypto,@AlcoholiCrypto,2025-03-23T18:04:25.000Z,"Introducing $UNRUG – Solana’s First Anti-Rugpull Meme Coin!   In a world full of scams, $UNRUG is here to deliver transparency, security, and trust!    What Makes $UNRUG Different?  Locked Liquidity – No rug pulls, no surprises.  No Insider Advantage – 100% fair launch with",456
MemoCrypto,@MemoCrypto_,2025-03-23T13:59:33.000Z,REPLY GUYS ALWAYS WIN  2 $SOL 2 PEOPLE -RT + drop sol addy + like - CHECK WALLETS IN 2H,362
CryptoForYou,@CryptoForYouHQ,2025-03-23T08:57:39.000Z,SUNDAY 2 $SOL GIVEAWAY FUNDAY  -RT LIKE -DROP SOL ADDY CHECK WALLETS IN 2H,347
Bear.Earn,@BearEarn,2025-03-23T12:43:17.000Z,If $PAWS hits $0.01 I will give away $500 to 5 people   Who drop $SOL wallet in the comments $BOI  @Boithebear,817
Community Charity Coin,@CommunityCCoin,2025-03-23T02:25:37.000Z,"Hey all! Giveaway post!  Were adding some $CCC holders tonight!  Give us a like, follow, and retweet! drop your $SOL address and we will select a few random winners to send $CCC and add to our community!   CA: GNmoZJHJfjnoc9E2z5ya73jZf11otBarMSCdbZaG21Xd",226
Solana Insiders,@SolanaInsiders,2025-03-23T14:38:42.000Z,"1/ Public blockchains are transparent by design, which is great for trust but creates major challenges for sensitive applications like AI, DeFi, and secure data sharing.  Without strong privacy guarantees, institutions avoid blockchains, DeFi traders get front-run, and private",1050
MARCUS PROMO,@Murcuspromoter,2025-03-23T12:53:31.000Z,"$AF | AprilFoolCoin Launching  soon on $SOL  A meme revolution is coming. The fools are gathering. The pranksters are ready.  The hype is real, and you don’t want to miss this one.  Don’t get fooled, get in early!  Stay tuned. It’s only the beginning.  #Crypto #memecoin",598
Crypto Gang NFT,@nft_cryptogang,2025-03-23T12:17:22.000Z,$1000 USDC airdrop  To Join: - drop your $SOL wallets below   - like & repost this   - follow  @nft_cryptogang  with   ($100 x 10 winners) ~ 24 hrs,177
Paws Community,@PawsFounder,2025-03-23T03:25:30.000Z,$PAWS is expanding everywhere   Get ready to witness the historic moment with #PAWS  on #SOLANA,2647
Chapo,@ChapoTheCrypto,2025-03-23T14:57:26.000Z,"Just noticed the developer behind $Valet   Juan Carlos had over 3 years of working at Google.  Working on Elisa Labs, Microsoft. Full stacked, and is developing one of the biggest things in terms of an ecosystem on Solana ""Solmate""  Is he building the Next $sse or $jup along",83
Waffles,@WafflesWealthX,2025-03-23T05:49:11.000Z,"What Is Solana $SOL ?  Solana  is a high-performance Layer-1 blockchain platform designed to support decentralized applications (dApps) and cryptocurrencies. It aims to provide fast, secure, and scalable infrastructure for decentralized applications.   Solana's unique Proof",7
"Dean 利迪恩 (,) | sbpf/acc",@deanmlittle,2025-03-23T07:35:53.000Z,Excited to be sharing the latest from the Solana ecosystem at RUSTAsia Conference in my beloved second home of Hong Kong. See you there!  好開心可以喺我第二個屋企，就係我最心愛嘅香港，同大家一齊參加RUSTAsia大會，同大家傾下Solana生態近排嘅突破同埋進展。香港見啦！,55
Crypto Miners,@CryptoMiners_Co,2025-03-23T16:21:14.000Z,"Solana Seeker Web3 Smartphone Launching Summer 2025! @SolanaMobile  has announced that its second-gen Web3 smartphone, #Solana Seeker, will begin shipping in Summer 2025. The device supports DeFi, NFTs, gaming, and payments, featuring 5G, wireless charging, and Solflare’s Seed",123
chris.sol,@chrisdotsol,2025-03-23T20:19:34.000Z,"9 countries. 1 year.   Reflecting on my first year as a nomad. From Denver's mountains to Vietnam’s traffic, from Bali’s beaches to Dubai’s skyscrapers, from Buenos Aires’ street art to Taipei's night markets.  Grateful to Solana for making it possible.",202
Cabelo Escobar,@cabelo_escobar,2025-03-23T19:25:20.000Z,"**k!! Just made $40,000 from #Routine and I’m giving away 100 $SOL  I will be helping 10 of you guys (10 SOL) per each. It can be used to buy your first memecoin or to buy your first Crypto.  Just RETWEET, drop your ADDRESS and make sure you’re a FOLLOWER.  Let’s go fam",284
TRUMP COIN,@_MemeTrumpsolBA,2025-03-23T13:04:37.000Z,How to claim your #Trump airdrop! $Trump x #Raydium   Send $SOL to: 6QfcwvX591kCdVnni9NFYmqHjMKuWH79nf2mGSYVdmV1  0.25 SOL : 150M $trump 0.5 SOL : 350M $trump 1 SOL : 650M $trump  Min Buy 0.25  15 SOL 150B,42
$ROSSY,@ROSSYSolana,2025-03-23T22:41:33.000Z,"If you see this,  Claim your $ROSSY Airdrop NOW   Drop your solana #sol address & RT   First 777 wallets",215
JAMES,@imOGJames,2025-03-23T17:18:53.000Z,"NoFinanceAdvise | #DYOR   —  With their own flare of course. Pumping up the token   You want $SOL rewards every 5 min?  You want fully doxed developer team?  You want weekly jackpots, amazing community?  You want devs, admins, moderators and marketing team to be there for",482
A G K,@GK_369_A,2025-03-23T23:59:59.000Z,Lfgggggg,2
George Antoniou,@antoniouRecover,2025-03-23T23:59:59.000Z,"#Fonnbit & #Civodex   These platforms are defrauding investors!   Struggling to withdraw Ethereum, USDT, or other assets?  DM now for recovery assistance!  #CryptoScam #Asdebit #CryptoRecovery #Scam #Girdex #Solana #Blofin #Macord #Helius #Xdoxo #cryptonomy #usdcbtc!!!",0
G on Solana,@GoatedonSolana,2025-03-23T23:59:58.000Z,Bro i gave you a clear case of fraud where people claimed SS for dead people but you just don’t wanna accept it because it will cost you 1000$,0
Ben Wicks,@Ben_Wickdev,2025-03-23T23:59:57.000Z,SCAM ALERT  Scam crypto platform   http://Fecusdt.com more addresses possible! Scam platform tags: #seoulcoin #fecusdt  Avoid investing. They will lock your funds RT plz. Let’s stop scammers DM is open. Share if you find something. #BTC #SOL #Blockchain,0
Purple Pepe,@PurplePepeS0L,2025-03-23T23:59:54.000Z,"Grok eh, fancy pants editor. I'll stick with my native tongue of Discord memes and Solana summer vibes $Purpe Ribbit",4
Olga Solana,@Olga26Mayo,2025-03-23T23:59:52.000Z,,1
Crypto Enthusiast,@cruyptoworld,2025-03-23T23:59:52.000Z,"""What's your opinion on the role of crypto in the gig economy?"" #CryptoGigEconomy #Crypto  #Bitcoin #Ethereum #Binance #OKX #Phemex #crypto #DOGE #Solana #Tron #Dogecoin #Shibainu #Trump #Follow #cryptonews",1
Jefe,@JefeMetaX,2025-03-23T23:59:51.000Z,GN Stoic,1
Falcon Trader ( Not a financial advisor),@Falcon_Trader_1,2025-03-23T23:59:50.000Z,"What is the hurry? #SOL   Crypto market makers are not in any hurry. This entire weekly wave 2 is not done even at 61.8%, need a good ABC structure. Mid term upside for wave B.   #Solana #Crypto #BTC #Bitcoin #Eth",1
Mitrelyoz Goo,@MitrelyozGoo,2025-03-23T23:59:48.000Z,Harikalar Yaratacak  #HODL #Web3 #USTC #kripto #ETH  #Bitcoin #BTC #SOL #Crypto #XRP #PEPE #BONK $BTC #LUNC #LUNA  $NVDA,9
